file,easting,northing
B1_A3.las,5450.148,6557074.508
B1_A3.las,5450.148,6558972.63
B1_A3.las,9185.152,6557074.508
B1_A3.las,9185.152,6558972.63
B1_A4.las,9185.152,6557074.508
B1_A4.las,9185.152,6560703.55
B1_A4.las,14528.6,6557074.508
B1_A4.las,14528.6,6560703.55
B1_B2.las,-1739.281,6553445.466
B1_B2.las,-1739.281,6556148.088
B1_B2.las,3580.847,6553445.466
B1_B2.las,3580.847,6556148.088
B1_B3.las,3580.847,6553445.466
B1_B3.las,3580.847,6557074.507
B1_B3.las,9185.152,6553445.466
B1_B3.las,9185.152,6557074.507
B1_B4.las,9185.152,6553633.927
B1_B4.las,9185.152,6557074.507
B1_B4.las,14789.457,6553633.927
B1_B4.las,14789.457,6557074.507
B1_C1.las,-7627.762,6549816.425
B1_C1.las,-7627.762,6553296.745
B1_C1.las,-2023.457,6549816.425
B1_C1.las,-2023.457,6553296.745
B1_C2.las,-2023.458,6549816.425
B1_C2.las,-2023.458,6553445.467
B1_C2.las,3580.847,6549816.425
B1_C2.las,3580.847,6553445.467
B1_C3.las,3580.847,6550773.57
B1_C3.las,3580.847,6553445.467
B1_C3.las,8800.149,6550773.57
B1_C3.las,8800.149,6553445.467
B1_D1.las,-7312.282,6546187.383
B1_D1.las,-7312.282,6549816.424
B1_D1.las,-2023.457,6546187.383
B1_D1.las,-2023.457,6549816.424
B1_D2.las,-2023.458,6547997.075
B1_D2.las,-2023.458,6549816.424
B1_D2.las,1678.76,6547997.075
B1_D2.las,1678.76,6549816.424
